Department,Average_Salary
Fisheries/Wildlife/Cnsrv Biol,"$99,948.00 "
Food Science and Nutrition,"$97,082.39 "
"Food/Agr/Nat Rsrc Sci Adm, Col","$212,175.00 "
"Forest Resources, Dept of","$98,949.62 "
French and Italian,"$82,364.77 "
"Gender, Women and Sexuality","$89,906.56 "
"Genetics, Cell Biol, Dev TCBS","$109,338.44 "
"Genetics, Cell Biol, Dev TMED","$97,906.70 "
Geography,"$82,983.59 "
"German, Scandinavian, & Dutch","$96,143.07 "
"Health Policy/Mgmt, Div of","$152,809.71 "
History,"$98,097.71 "
"Honors Program, TC Campus",$0.00 
Hormel Institute,"$81,140.68 "
Horticultural Science,"$106,437.63 "
Humphrey Sch of Public Affairs,"$125,656.43 "
Industrial/Systems Engineering,"$106,765.42 "
Information/Decision Sciences,"$189,429.00 "
Integrative Biology/Physiology,"$84,249.94 "
Interdisciplinary Instruction,$0.00 
"Journalism/Mass Comm, Sch of","$92,243.35 "
"Kinesiology, School of","$101,651.25 "
Lab Medicine/Pathology,"$76,217.84 "
Landscape Arboretum,"$282,180.00 "
Landscape Architecture,"$34,611.68 "
Law School,"$186,184.34 "
Lib Arts Adm Ofc of the Dean,"$192,975.00 "
"Linguistics, Institute of","$65,000.13 "
Marketing,"$203,209.77 "
Math Ctr for Educational Prgms,"$52,000.00 "
"Mathematics, Sch of","$100,866.21 "
Mechanical Engineering,"$126,593.40 "
"Medical School Admin, TMED","$72,431.25 "
Medicinal Chem Pharmacognosy,"$157,870.94 "
Medicine,"$45,127.90 "
Microbiology,"$96,239.44 "
Minnesota Population Center,"$107,984.50 "
Music,"$88,979.21 "
NC Research/Outreach Center,"$88,196.33 "
Neurology,"$62,639.53 "
Neuroscience,"$110,843.23 "
Neurosurgery,"$63,217.88 "
"Nursing, School of","$88,501.73 "
NW Research/Outreach Center,"$71,845.00 "
Obstetrics and Gynecology,"$57,564.96 "
Ophthalmology,"$70,117.05 "
"Org Leadership, Policy/Dev","$88,896.00 "
Orthopaedic Surgery,"$46,450.89 "
Otolaryngology,"$54,604.58 "
Pediatrics,"$56,068.04 "
Pharmaceutical Care and Health,"$120,349.85 "
Pharmaceutics,"$132,214.40 "
Pharmacology,"$90,527.89 "
Philosophy,"$106,519.46 "
Physical Med/Rehabilitation,"$61,601.92 "
Physics and Astronomy,"$115,842.90 "
Plant Biology,"$97,003.78 "
Plant Pathology,"$112,631.50 "
Political Science,"$110,174.46 "
Post Secondary Tchg/Lrng,"$91,282.93 "
Primary Dental Care,"$59,076.25 "
Professional Education,"$61,155.00 "
Professional/External Relation,"$96,500.00 "
Psychiatry,"$66,736.80 "
Psychology,"$125,267.91 "
"Public Health, School of","$92,265.00 "
Radiation Oncology,"$65,699.33 "
Radiology,"$74,995.76 "
Raptor Center,"$81,341.00 "
Restorative Sciences,"$49,353.46 "
S Research/Outreach Center,"$90,863.25 "
"Science/Technology, Hist of","$88,461.00 "
"Social Work, School of","$88,141.57 "
Sociology,"$104,878.21 "
"Soil, Water, and Climate","$109,509.29 "
Spanish and Portuguese,"$77,741.00 "
Speech/Language/Hearing Sci,"$87,606.92 "
"Spirituality/Healing, Ctr for","$34,665.59 "
St Anthony Falls Laboratory,"$58,067.00 "
"Statistics,School of","$124,268.81 "
Strategic Mgmt/Entrepreneur,"$200,643.74 "
Supply Chain and Operations,"$179,755.27 "
Surgery,"$57,994.30 "
SW Research/Outreach Center,"$79,324.67 "
Theatre Arts and Dance,"$75,761.89 "
Urologic Surgery,"$42,936.33 "
Veterinary Biosciences,"$116,020.81 "
Veterinary Clinical Sciences,"$116,948.91 "
Veterinary Population Medicine,"$113,603.85 "
WC Research/Outreach Center,"$74,295.00 "
Work and Organizations,"$164,934.08 "
Writing Studies,"$93,277.75 "
