subjectCode,courseNumber,courseTitle,term,number,deeperUnderstanding,interest,tech,grades,recommend,college,subject
ACCT,5160,Financial Statement,Spr 2015,37,4.86,4.92,4.94,4.65,4.95,CSOM,Accounting
ACCT,5160,Financial Statement,Fall 2015,93,5.22,5.15,5.32,5.02,5.22,CSOM,Accounting
ACCT,5201,Ined Mgmt Acct,Spr 2015,31,5.45,5.32,5.31,5.48,5.54,CSOM,Accounting
ACCT,5201,Ined Mgmt Acct,Fall 2015,71,5.17,4.89,5.09,5.17,5.2,CSOM,Accounting
ACCT,5236,Taxation of Business,Fall 2015,33,5.52,5.06,5.3,5.21,5.24,CSOM,Accounting
ACCT,5310,International Acct,Spr 2015,35,5.2,4.91,5,5.26,5,CSOM,Accounting
ACCT,5310,International Acct,Fall 2015,34,5.18,4.82,5.18,5.15,5,CSOM,Accounting
ACCT,6100,Fin Statement Analysis,Fall 2015,24,5.25,5.26,5.17,5.13,5.26,CSOM,Accounting
ACCT,6160,"Mergers& Acquisitions, Derivat",Fall 2015,23,4.61,4.61,4.87,4.91,4.55,CSOM,Accounting
ACCT,8001,Internal Control,Fall 2015,36,5.4,5.11,5.14,5.26,5.34,CSOM,Accounting
ACCT,8002,SEC-Standard Setting,Fall 2015,38,5.46,5.3,5.27,5.41,5.42,CSOM,Accounting
ACCT,8006,Advanced Audit,Spr 2015,15,5.87,5.87,5.86,5.93,5.93,CSOM,Accounting
ACCT,8800,Topics,Fall 2015,15,5.87,5.67,5.8,5.87,6,CSOM,Accounting
ACCT,8811,Info Econ I,Fall 2015,6,5.83,5.83,5.83,5.83,5.83,CSOM,Accounting
ACCT,2050H,Honors: Intr Financial Rptg,Spr 2015,27,5.41,4.67,5.46,5.48,5.22,CSOM,Accounting
ACCT,2050H,Honors: Intr Financial Rptg,Fall 2015,32,5.56,4.91,5.1,5.16,5.42,CSOM,Accounting
ACCT,5125W,Auditing,Spr 2015,47,5.38,4.77,5.16,5.28,5.16,CSOM,Accounting
ACCT,5125W,Auditing,Sum 2015,23,5.33,5,5,5.38,5.45,CSOM,Accounting
ACCT,5125W,Auditing,Fall 2015,55,5.42,5.09,5.24,5.37,5.37,CSOM,Accounting
ACL,5100,Topics in ACL,Fall 2015,2,6,6,,6,6,CCE,Arts and Cultural Leadership
ACL,5200,Trends and Impacts,Spr 2015,12,5.33,5.58,4.5,4.5,5.2,CCE,Arts and Cultural Leadership
ACL,5230,Ethics and the Law,Fall 2015,2,5,5,5,3.5,5,CCE,Arts and Cultural Leadership
ACL,8001,Intro to Inquiry,Spr 2015,5,5.6,5.2,4.6,5.6,5.5,CCE,Arts and Cultural Leadership
ACL,8001,Intro to Inquiry,Fall 2015,1,5,4,5,6,5,CCE,Arts and Cultural Leadership
ADDS,5011,Found. in Addiction Studies,Spr 2015,13,5.15,4.92,4.92,4.38,4.69,CCE,Addiction Studies
ADDS,5011,Found. in Addiction Studies,Sum 2015,16,5.19,5.06,4.5,4.56,4.81,CCE,Addiction Studies
ADDS,5011,Found. in Addiction Studies,Fall 2015,22,4.76,4.81,4.75,4.48,4.35,CCE,Addiction Studies
ADDS,5021,Intro to Evidence Based Pract.,Sum 2015,6,6,5.83,5.33,5.67,5.83,CCE,Addiction Studies
ADDS,5021,Intro to Evidence Based Pract.,Fall 2015,19,5.89,5.89,5.74,5.58,5.84,CCE,Addiction Studies
ADDS,5031,Applied Psychopharmacology,Sum 2015,14,4.57,4.86,4.67,3.14,3.57,CCE,Addiction Studies
ADDS,5031,Applied Psychopharmacology,Fall 2015,12,3.8,3.33,4.25,4.4,2.83,CCE,Addiction Studies
ADDS,5041,Methods and Models I,Sum 2015,10,5.9,5.7,5.4,5.7,5.8,CCE,Addiction Studies
ADDS,5041,Methods and Models I,Fall 2015,7,6,6,5.71,5.86,6,CCE,Addiction Studies
ADDS,5051,Methods and Models II,Sum 2015,5,5.8,5.8,5.6,5.6,5.8,CCE,Addiction Studies
ADDS,5051,Methods and Models II,Fall 2015,8,5.63,5.5,5.38,5.75,5.88,CCE,Addiction Studies
ADDS,5061,Foundations of Group Work,Spr 2015,12,5.73,5.64,5.45,5.36,5.82,CCE,Addiction Studies
ADDS,5061,Foundations of Group Work,Fall 2015,13,5.77,5.77,5.85,5.85,5.85,CCE,Addiction Studies
ADDS,5071,Found. Co-occurring Disorders,Spr 2015,4,5.5,5.5,5.25,5,5.25,CCE,Addiction Studies
ADDS,5071,Found. Co-occurring Disorders,Sum 2015,5,5.6,5.6,5,5.6,5.4,CCE,Addiction Studies
ADDS,5071,Found. Co-occurring Disorders,Fall 2015,10,5.6,5.6,5.4,5.7,5.78,CCE,Addiction Studies
ADDS,5081,Multicultural Foundations,Spr 2015,2,6,6,4,4,3.5,CCE,Addiction Studies
ADDS,5081,Multicultural Foundations,Fall 2015,14,5.5,5.21,5.21,5.21,5.07,CCE,Addiction Studies
ADDS,5091,Assessment & Treatment Plan I,Spr 2015,12,5.82,5.64,5.27,5.36,5.82,CCE,Addiction Studies
ADDS,5091,Assessment & Treatment Plan I,Sum 2015,4,5.75,5.5,5.25,4.5,5,CCE,Addiction Studies
ADDS,5091,Assessment & Treatment Plan I,Fall 2015,12,5.33,5.08,4.92,4.42,5.18,CCE,Addiction Studies
ADES,1221,Apparel Assembly,Fall 2015,31,6,5.9,5.57,5.68,5.67,CDES,Apparel Design
ADES,2211,Fashion Illust & Portfolio Dev,Spr 2015,34,5.58,5.48,5.24,5.24,5.45,CDES,Apparel Design
ADES,2213,Textile Analysis,Fall 2015,157,4.92,4.16,4.4,4.61,4.05,CDES,Apparel Design
ADES,2214,Softlines Analysis,Spr 2015,53,4.68,4.28,4.26,4.45,4.38,CDES,Apparel Design
ADES,2221,Apparel Studio I,Spr 2015,20,5.63,5.53,5.16,5.32,5.42,CDES,Apparel Design
ADES,2222,Apparel Studio II,Fall 2015,17,5.24,5.29,5.13,5.06,5.18,CDES,Apparel Design
ADES,3196,Field Study: Natl/Intl,Spr 2015,4,5.5,5.75,5.5,5.5,5.5,CDES,Apparel Design
ADES,3217,Fashion: Trends & Comm,Fall 2015,47,5.28,5.13,5.21,5.04,5.15,CDES,Apparel Design
ADES,3223,Apparel Studio III,Spr 2015,13,5.31,5.31,4.69,4.85,5.15,CDES,Apparel Design
ADES,3224,Apparel Studio IV,Spr 2015,13,5.77,5.38,5.58,5.08,5.62,CDES,Apparel Design
ADES,3225,Apparel Design Research,Spr 2015,13,5.38,5.38,5.22,5.38,5.38,CDES,Apparel Design
ADES,3227,Technical Design Studio,Fall 2015,12,6,5.83,6,5.55,5.92,CDES,Apparel Design
ADES,4121,History of Costume,Spr 2015,33,5.3,4.88,4.61,3.78,4.3,CDES,Apparel Design
ADES,4215,Product Development,Spr 2015,68,5.01,4.83,4.03,3.49,4.42,CDES,Apparel Design
ADES,4225,Apparel Studio V,Fall 2015,11,5.64,5.55,5.44,5.55,5.09,CDES,Apparel Design
ADES,4218W,"Fashion, Dsgn, Global Industry",Fall 2015,20,4.3,4.1,4.1,4.3,3.9,CDES,Apparel Design
AEM,1905,Aircraft and Spacecraft,Spr 2015,15,4.4,4.07,3.47,4.13,3.64,CSE,Aerospace Engineering and Mechanics
AEM,1905,Aircraft and Spacecraft,Fall 2015,19,5.68,5.84,5.63,5.58,5.84,CSE,Aerospace Engineering and Mechanics
AEM,2011,Statics,Spr 2015,61,5.15,4.34,4.55,4.85,4.57,CSE,Aerospace Engineering and Mechanics
AEM,2011,Statics,Sum 2015,7,5.71,5.71,6,5.71,5.71,CSE,Aerospace Engineering and Mechanics
AEM,2011,Statics,Fall 2015,83,5.49,5.02,5.21,5.23,5.24,CSE,Aerospace Engineering and Mechanics
AEM,2012,Dynamics,Spr 2015,41,3.1,2.68,3.52,4.25,3.2,CSE,Aerospace Engineering and Mechanics
AEM,2012,Dynamics,Sum 2015,10,5.7,5.4,5.29,5.7,5.6,CSE,Aerospace Engineering and Mechanics
AEM,2012,Dynamics,Fall 2015,27,5.15,4.56,4.88,5.15,4.92,CSE,Aerospace Engineering and Mechanics
AEM,2021,Statics & Dynamics,Spr 2015,42,5.1,4.48,4.63,5.29,4.83,CSE,Aerospace Engineering and Mechanics
AEM,2021,Statics & Dynamics,Fall 2015,101,4.99,4.39,4.48,4.63,4.62,CSE,Aerospace Engineering and Mechanics
AEM,2301,Mechanics of Flight,Spr 2015,74,5.7,5.43,5.09,5.5,5.56,CSE,Aerospace Engineering and Mechanics
AEM,3031,Deform. Body Mech.,Spr 2015,163,4.8,3.99,4,4.39,4.24,CSE,Aerospace Engineering and Mechanics
AEM,3031,Deform. Body Mech.,Sum 2015,20,5.6,4.4,4.69,5.2,4.95,CSE,Aerospace Engineering and Mechanics
AEM,3031,Deform. Body Mech.,Fall 2015,97,5.52,5,4.96,5.21,5.2,CSE,Aerospace Engineering and Mechanics
AEM,3101,Simulation,Fall 2015,56,5.49,5.07,5.69,5.58,5.43,CSE,Aerospace Engineering and Mechanics
AEM,4201,Fluid Mechanics,Fall 2015,72,4.94,4.46,3.98,4.61,4.23,CSE,Aerospace Engineering and Mechanics
AEM,4202,Aerodynamics,Spr 2015,49,5.73,5.44,5.27,5.46,5.67,CSE,Aerospace Engineering and Mechanics
AEM,4203,Aero. Propulsion,Spr 2015,46,5.35,4.98,4.75,5.13,5.09,CSE,Aerospace Engineering and Mechanics
AEM,4253,Comp Fluids,Fall 2015,30,5.59,5.52,5.04,5.15,5.58,CSE,Aerospace Engineering and Mechanics
AEM,4301,Orbital Mechanics,Spr 2015,52,5.12,4.87,4.65,4.79,4.61,CSE,Aerospace Engineering and Mechanics
AEM,4305,Spacecraft Dynamics,Spr 2015,8,5.5,4.88,5,5.75,5.25,CSE,Aerospace Engineering and Mechanics
AEM,4321,Feedback Control,Fall 2015,79,5.74,5.62,5.59,5.59,5.65,CSE,Aerospace Engineering and Mechanics
AEM,4331,Aerospace Vehicle Design,Fall 2015,102,5.29,5.33,5.19,4.95,5.39,CSE,Aerospace Engineering and Mechanics
AEM,4333,Aerospace Design Projects,Spr 2015,92,5.59,5.39,5.5,5.11,5.59,CSE,Aerospace Engineering and Mechanics
AEM,4501,Aero Structures,Spr 2015,55,5.09,4.36,5.04,5,4.24,CSE,Aerospace Engineering and Mechanics
AEM,4502,Comp. Structures,Fall 2015,13,5.58,5.58,5.73,5.5,5.58,CSE,Aerospace Engineering and Mechanics
AEM,4511,Composite Materials,Spr 2015,62,5.4,5,5.15,5.34,5.31,CSE,Aerospace Engineering and Mechanics
AEM,4601,Instrumentation Lab,Spr 2015,41,4.88,4.07,4.72,5.05,4.49,CSE,Aerospace Engineering and Mechanics
AEM,5253,Comp Fluids,Fall 2015,30,5.59,5.52,5.04,5.15,5.58,CSE,Aerospace Engineering and Mechanics
AEM,5333,Design-to-Flight: UAVs,Spr 2015,7,5.57,5.57,4.57,3.71,5.14,CSE,Aerospace Engineering and Mechanics
AEM,5401,In. Dynamics,Fall 2015,15,5.13,4.8,5.5,5.47,5.07,CSE,Aerospace Engineering and Mechanics
AEM,5451,Optimal Estimation,Fall 2015,9,5.89,5.78,5.44,5.33,6,CSE,Aerospace Engineering and Mechanics
AEM,5501,Continuum Mechanics,Fall 2015,13,4.85,4.46,5,5.25,4.69,CSE,Aerospace Engineering and Mechanics
AEM,5503,Elasticity,Spr 2015,2,5.5,4.5,5.5,4.5,4.5,CSE,Aerospace Engineering and Mechanics
AEM,8201,Fluids I,Fall 2015,25,4.92,4.52,4.87,4.84,4.84,CSE,Aerospace Engineering and Mechanics
AEM,8202,Fluids II,Spr 2015,21,5.43,5.19,5,5.14,5.25,CSE,Aerospace Engineering and Mechanics
AEM,8203,Fluids III,Fall 2015,9,5.89,5.67,5.75,5.44,5.89,CSE,Aerospace Engineering and Mechanics
AEM,8207,Stability,Spr 2015,6,5.83,5.33,5.5,5.33,5.75,CSE,Aerospace Engineering and Mechanics
AEM,8211,Turb I,Spr 2015,19,5.37,5.47,5.47,5.28,5.67,CSE,Aerospace Engineering and Mechanics
AEM,8211,Turb I,Fall 2015,5,5.8,5.8,6,5.6,6,CSE,Aerospace Engineering and Mechanics
AEM,8251,Volume Methods,Spr 2015,14,5.71,5.79,5.67,5.38,5.57,CSE,Aerospace Engineering and Mechanics
AEM,8411,Advanced Dynamics,Spr 2015,11,5.82,5.36,5.4,5.6,5.73,CSE,Aerospace Engineering and Mechanics
AEM,8525,Material Stability,Fall 2015,9,5.88,5.13,5.38,5.71,5.38,CSE,Aerospace Engineering and Mechanics
AEM,8551,Multiscale Methods,Spr 2015,19,5.32,5.32,5.42,5.42,5.53,CSE,Aerospace Engineering and Mechanics
AEM,4303W,Flight Dynamics,Spr 2015,49,5.61,5.35,5.51,5.47,5.53,CSE,Aerospace Engineering and Mechanics
AEM,4602W,Aeromechanics Lab,Fall 2015,99,4.73,3.94,4.67,3.35,3.55,CSE,Aerospace Engineering and Mechanics
AFEE,1001,"Intro to Ag Ed, Comm, & Mktg",Fall 2015,24,5.46,5.63,5.67,5.54,5.79,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,1002,Prin Career Plan/Ag Prof,Spr 2015,34,4.24,3.91,4.61,5.24,4.47,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,2051,Current Tech Competencies,Fall 2015,20,4.65,3.95,4.15,4.25,4.25,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,2096,Prof Practicum Ag Ed: Early Ex,Spr 2015,19,5.78,5.78,5.76,5.89,5.78,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,2221,People Skills for Leadership,Fall 2015,19,4.63,4,4.32,4.21,3.89,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,2421,Communication for Ag,Spr 2015,44,5.51,5.09,5.48,5.51,5.39,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,2421,Communication for Ag,Fall 2015,56,5.56,5.26,5.49,5.53,5.43,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,3096,Exper Learning: Prod/Business,Fall 2015,6,5.6,5.83,6,6,6,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,3112,Building Construct Technology,Fall 2015,9,4.56,4.56,4,3.67,4.13,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,3361,World Development Problems,Fall 2015,24,5.17,5,4.88,5.04,4.65,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,3430,Agricultural Communication,Spr 2015,23,5.43,5.26,5.41,5.48,5.55,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,3480,Topics in Ag Education,Spr 2015,20,5.8,5.9,5.5,5.6,5.95,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,3480,Topics in Ag Education,Fall 2015,3,5,5,5.33,5,5,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,4221,Rural Leadership Development,Spr 2015,18,4.06,4,4.06,5.06,3.94,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5112,AGED Prog Org & Cur,Spr 2015,13,5.08,4.83,5.08,4.69,5.15,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5114,Ag Ed Teach Sem,Spr 2015,13,5,4.77,4.54,4.62,4.83,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5116,Coord.SAE Prog:Work-based Lrng,Spr 2015,13,5.46,5.08,4.92,5.31,5.17,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5118,Strat. Managing Adv. FFA Org,Spr 2015,14,4.71,4.71,4.71,4.57,4.69,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5231,Ag Ed Curriculum K-12,Spr 2015,3,5,5.67,6,5.67,5.67,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5233,Adv Procs in Teaching Ag Ed,Fall 2015,6,5.67,5.67,5.17,5.33,5.67,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5361,World Development Problems,Fall 2015,3,6,6,5,4.67,5,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5697,Teaching Intern: School/Classr,Fall 2015,13,5.08,4.77,5,4.92,4.92,CEHD,"Agricultural, Food, and Environmental Education"
AFEE,5111W,AgEd Methods,Fall 2015,25,4.68,4.54,4.56,4.33,4.17,CEHD,"Agricultural, Food, and Environmental Education"
AFRO,1011,Intro to Afro-Am,Fall 2015,20,5.8,5.6,5.15,5.55,5.7,CLA,African American and African Studies
AFRO,1021,Intro to Africa,Fall 2015,21,5.5,4.65,4.29,4.79,4.7,CLA,African American and African Studies
AFRO,1902,Freshman Seminar,Fall 2015,17,5.53,5.06,4.41,3.69,4.56,CLA,African American and African Studies
AFRO,3002,West Africa from 1800,Spr 2015,3,5.33,5,3,3.33,4.67,CLA,African American and African Studies
AFRO,3006,African Migrations to Atlantic,Spr 2015,7,5,4.86,4,4.14,4.33,CLA,African American and African Studies
AFRO,3006,African Migrations to Atlantic,Sum 2015,7,6,6,5.43,5.29,5.57,CLA,African American and African Studies
AFRO,3108,History of Jazz,Fall 2015,6,5,4.67,5.17,4.83,4.17,CLA,African American and African Studies
AFRO,3301,Black American Music,Spr 2015,22,5.41,5.23,4.33,4,5,CLA,African American and African Studies
AFRO,3426,Black.Soc.Pol.&Welfare State,Spr 2015,40,5.83,5.8,5.49,5.6,5.95,CLA,African American and African Studies
AFRO,3432,Modern Africa,Fall 2015,93,5.45,5.31,4.85,4.9,5.48,CLA,African American and African Studies
AFRO,3433,Econ Devel. in Contemp Africa,Spr 2015,6,6,5.4,3.67,4.8,5.4,CLA,African American and African Studies
AFRO,3433,Econ Devel. in Contemp Africa,Fall 2015,8,6,6,5.8,5.63,6,CLA,African American and African Studies
AFRO,3627,Harlem Renaissance,Fall 2015,8,5.63,4.88,5.17,5.38,5.25,CLA,African American and African Studies
AFRO,3655,African-American Cinema,Spr 2015,22,5.23,4.68,4.64,3.86,4.3,CLA,African American and African Studies
AFRO,3865,African Am Hist 1865 - Present,Spr 2015,9,5.89,5.89,5.67,5.67,5.89,CLA,African American and African Studies
AFRO,3865,African Am Hist 1865 - Present,Sum 2015,12,5.75,5.58,5.42,5.33,5.64,CLA,African American and African Studies
AFRO,3866,Civil Rights & Black Power Mvt,Sum 2015,15,6,5.93,5.79,5.5,6,CLA,African American and African Studies
AFRO,4105,Ways of Knowing: Black Worlds,Fall 2015,1,6,5,6,6,,CLA,African American and African Studies
AFRO,5910,Topics,Fall 2015,14,5.62,5.33,4.5,5.08,4.85,CLA,African American and African Studies
AFRO,8202,History of Race,Spr 2015,7,5.43,5.43,5.5,5.14,5.29,CLA,African American and African Studies
AFRO,1023W,African World Literature,Spr 2015,16,5.44,5.31,5.27,5.13,5.25,CLA,African American and African Studies
AFRO,3251W,"Race, Class & Gender",Spr 2015,20,5.55,5.4,5.21,5.45,5.25,CLA,African American and African Studies
AFRO,3592W,Black Women Writers,Fall 2015,2,5.5,6,5,5,5.5,CLA,African American and African Studies
AFRO,3597W,African American Literature I,Fall 2015,32,5.29,5,4.93,4.07,4.44,CLA,African American and African Studies
AFRO,3598W,African American Literature II,Spr 2015,15,5.27,4.87,4.73,4.2,4.77,CLA,African American and African Studies
AFRO,3625W,Blk Women Writers 2,Spr 2015,14,5.14,4.86,4.54,3.29,3.62,CLA,African American and African Studies
AGRO,1101,Bio of Plant System,Spr 2015,79,5.05,4.86,5.16,4.88,5,CFANS,Agronomy and Plant Genetics
AGRO,1103,"Crops, Environment & Society",Fall 2015,56,5.32,5.16,4.81,5.46,5.44,CFANS,Agronomy and Plant Genetics
AGRO,3305,Agroecosystems of the world,Fall 2015,20,5.78,5.39,5.28,5.44,5.65,CFANS,Agronomy and Plant Genetics
AGRO,3660,Plant Genetic Resources,Spr 2015,23,5.65,5.52,5.55,5.39,5.39,CFANS,Agronomy and Plant Genetics
AGRO,4401,Plant Genetics and Breeding,Spr 2015,24,4.88,4.75,4.88,4.63,4.88,CFANS,Agronomy and Plant Genetics
AGRO,4605,Strategies for Ag Prod & Mgmt,Fall 2015,8,4.75,5.13,4.43,4.29,4.5,CFANS,Agronomy and Plant Genetics
AGRO,4888,Issues in Sustainable Ag,Fall 2015,22,5.27,5.27,5.36,5.4,4.95,CFANS,Agronomy and Plant Genetics
AGRO,5121,Applied Experimental Design,Spr 2015,81,5,4.7,4.6,5.08,4.77,CFANS,Agronomy and Plant Genetics
AGRO,5321,Ecology: Agricultural Systems,Spr 2015,21,5.3,5,5.15,5.25,5.2,CFANS,Agronomy and Plant Genetics
AGRO,5431,Applied Plant Genomics,Fall 2015,40,5.59,5.36,5.44,4.62,5.28,CFANS,Agronomy and Plant Genetics
AGRO,5999,Special Topics in Agronomy,Spr 2015,12,4.56,5.33,4.89,5.56,5.43,CFANS,Agronomy and Plant Genetics
AGRO,8201,Advanced Plant Breeding,Fall 2015,25,5.32,5.16,5,5.4,5.42,CFANS,Agronomy and Plant Genetics
AGRO,8241,Chromosomal & Molec Genetics,Spr 2015,15,5.2,5.33,5.07,5.27,5.4,CFANS,Agronomy and Plant Genetics
AGRO,8270,Grad Seminar,Fall 2015,4,4.67,4.67,4.75,4.5,5,CFANS,Agronomy and Plant Genetics
